MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType
900000001,2026-09-11T04:30:00+00:00,19.045,72.831,11.3,246.3,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T04:42:00+00:00,19.029144,72.797225,11.2,246.8,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T04:54:00+00:00,19.013288,72.763451,11.1,243.6,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T05:06:00+00:00,18.997431,72.729676,11.0,244.3,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T05:18:00+00:00,18.981575,72.695901,11.5,246.4,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T05:30:00+00:00,18.965719,72.662126,11.4,245.6,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T05:42:00+00:00,18.949863,72.628352,11.2,246.9,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T05:54:00+00:00,18.934006,72.594577,11.3,245.6,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T06:06:00+00:00,18.91815,72.560802,11.1,246.4,245,DEMO TANKER ALPHA,tanker
900000001,2026-09-11T06:18:00+00:00,18.902294,72.527028,11.4,245.2,245,DEMO TANKER ALPHA,tanker
900000002,2026-09-11T04:30:00+00:00,19.112,72.905,14.9,191.3,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T04:42:00+00:00,19.063174,72.896449,14.8,191.8,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T04:54:00+00:00,19.014349,72.887897,14.7,188.6,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T05:06:00+00:00,18.965523,72.879346,14.6,189.3,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T05:18:00+00:00,18.916698,72.870795,15.1,191.4,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T05:30:00+00:00,18.867872,72.862244,15.0,190.6,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T05:42:00+00:00,18.819047,72.853692,14.8,191.9,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T05:54:00+00:00,18.770221,72.845141,14.9,190.6,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T06:06:00+00:00,18.721396,72.83659,14.7,191.4,190,DEMO CARGO BETA,cargo
900000002,2026-09-11T06:18:00+00:00,18.67257,72.828039,15.0,190.2,190,DEMO CARGO BETA,cargo
900000003,2026-09-11T04:30:00+00:00,18.98,72.76,6.2,301.3,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T04:42:00+00:00,18.990217,72.742422,6.1,301.8,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T04:54:00+00:00,19.000434,72.724845,6.0,298.6,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T05:06:00+00:00,19.010652,72.707267,5.9,299.3,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T05:18:00+00:00,19.020869,72.68969,6.4,301.4,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T05:30:00+00:00,19.031086,72.672112,6.3,300.6,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T05:42:00+00:00,19.041303,72.654535,6.1,301.9,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T05:54:00+00:00,19.051521,72.636957,6.2,300.6,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T06:06:00+00:00,19.061738,72.61938,6.0,301.4,300,DEMO FISHING GAMMA,fishing
900000003,2026-09-11T06:18:00+00:00,19.071955,72.601802,6.3,300.2,300,DEMO FISHING GAMMA,fishing
900000004,2026-09-11T16:30:00+00:00,20.31,73.15,12.6,341.3,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T16:42:00+00:00,20.349349,73.135775,12.5,341.8,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T16:54:00+00:00,20.388697,73.12155,12.4,338.6,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T17:06:00+00:00,20.428046,73.107324,12.3,339.3,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T17:18:00+00:00,20.467394,73.093099,12.8,341.4,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T17:30:00+00:00,20.506743,73.078874,12.7,340.6,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T17:42:00+00:00,20.546092,73.064649,12.5,341.9,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T17:54:00+00:00,20.58544,73.050423,12.6,340.6,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T18:06:00+00:00,20.624789,73.036198,12.4,341.4,340,DEMO TANKER DELTA,tanker
900000004,2026-09-11T18:18:00+00:00,20.664138,73.021973,12.7,340.2,340,DEMO TANKER DELTA,tanker
